113, 15, 0, Bask, Pyr, GABA
114, 15, 0, Bask, Pyr, GABA
115, 15, 0, Bask, Pyr, GABA
116, 15, 0, Bask, Pyr, GABA
117, 15, 0, Bask, Pyr, GABA
118, 15, 0, Bask, Pyr, GABA
119, 15, 0, Bask, Pyr, GABA
120, 15, 0, Bask, Pyr, GABA
101, 16, 0, Bask, Pyr, GABA
102, 16, 0, Bask, Pyr, GABA
103, 16, 0, Bask, Pyr, GABA
104, 16, 0, Bask, Pyr, GABA
105, 16, 0, Bask, Pyr, GABA
106, 16, 0, Bask, Pyr, GABA
107, 16, 0, Bask, Pyr, GABA
108, 16, 0, Bask, Pyr, GABA
109, 16, 0, Bask, Pyr, GABA
110, 16, 0, Bask, Pyr, GABA
111, 16, 0, Bask, Pyr, GABA
112, 16, 0, Bask, Pyr, GABA
113, 16, 0, Bask, Pyr, GABA
114, 16, 0, Bask, Pyr, GABA
115, 16, 0, Bask, Pyr, GABA
116, 16, 0, Bask, Pyr, GABA
117, 16, 0, Bask, Pyr, GABA
118, 16, 0, Bask, Pyr, GABA
119, 16, 0, Bask, Pyr, GABA
120, 16, 0, Bask, Pyr, GABA
101, 17, 0, Bask, Pyr, GABA
102, 17, 0, Bask, Pyr, GABA
103, 17, 0, Bask, Pyr, GABA
104, 17, 0, Bask, Pyr, GABA
105, 17, 0, Bask, Pyr, GABA
106, 17, 0, Bask, Pyr, GABA
107, 17, 0, Bask, Pyr, GABA
108, 17, 0, Bask, Pyr, GABA
109, 17, 0, Bask, Pyr, GABA
110, 17, 0, Bask, Pyr, GABA
111, 17, 0, Bask, Pyr, GABA
112, 17, 0, Bask, Pyr, GABA
113, 17, 0, Bask, Pyr, GABA
114, 17, 0, Bask, Pyr, GABA
115, 17, 0, Bask, Pyr, GABA
116, 17, 0, Bask, Pyr, GABA
117, 17, 0, Bask, Pyr, GABA
118, 17, 0, Bask, Pyr, GABA
119, 17, 0, Bask, Pyr, GABA
120, 17, 0, Bask, Pyr, GABA
101, 18, 0, Bask, Pyr, GABA
102, 18, 0, Bask, Pyr, GABA
103, 18, 0, Bask, Pyr, GABA
104, 18, 0, Bask, Pyr, GABA
105, 18, 0, Bask, Pyr, GABA
106, 18, 0, Bask, Pyr, GABA
107, 18, 0, Bask, Pyr, GABA
108, 18, 0, Bask, Pyr, GABA
109, 18, 0, Bask, Pyr, GABA
110, 18, 0, Bask, Pyr, GABA
111, 18, 0, Bask, Pyr, GABA
112, 18, 0, Bask, Pyr, GABA
113, 18, 0, Bask, Pyr, GABA
114, 18, 0, Bask, Pyr, GABA
115, 18, 0, Bask, Pyr, GABA
116, 18, 0, Bask, Pyr, GABA
117, 18, 0, Bask, Pyr, GABA
118, 18, 0, Bask, Pyr, GABA
119, 18, 0, Bask, Pyr, GABA
120, 18, 0, Bask, Pyr, GABA
101, 19, 0, Bask, Pyr, GABA
102, 19, 0, Bask, Pyr, GABA
103, 19, 0, Bask, Pyr, GABA
104, 19, 0, Bask, Pyr, GABA
105, 19, 0, Bask, Pyr, GABA
106, 19, 0, Bask, Pyr, GABA
107, 19, 0, Bask, Pyr, GABA
108, 19, 0, Bask, Pyr, GABA
109, 19, 0, Bask, Pyr, GABA
110, 19, 0, Bask, Pyr, GABA
111, 19, 0, Bask, Pyr, GABA
112, 19, 0, Bask, Pyr, GABA
113, 19, 0, Bask, Pyr, GABA
114, 19, 0, Bask, Pyr, GABA
115, 19, 0, Bask, Pyr, GABA
116, 19, 0, Bask, Pyr, GABA
117, 19, 0, Bask, Pyr, GABA
118, 19, 0, Bask, Pyr, GABA
119, 19, 0, Bask, Pyr, GABA
120, 19, 0, Bask, Pyr, GABA
101, 20, 0, Bask, Pyr, GABA
102, 20, 0, Bask, Pyr, GABA
103, 20, 0, Bask, Pyr, GABA
104, 20, 0, Bask, Pyr, GABA
105, 20, 0, Bask, Pyr, GABA
106, 20, 0, Bask, Pyr, GABA
107, 20, 0, Bask, Pyr, GABA
108, 20, 0, Bask, Pyr, GABA
109, 20, 0, Bask, Pyr, GABA
110, 20, 0, Bask, Pyr, GABA
111, 20, 0, Bask, Pyr, GABA
112, 20, 0, Bask, Pyr, GABA
113, 20, 0, Bask, Pyr, GABA
